time:1150938620674Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777545279609Acc:[0.48692322, 5.1607056, 8.112747]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777608847724Acc:[0.6305847, 5.242111, 8.356964]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777672415840Acc:[0.18525696, 5.055359, 9.247604]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777736044990Acc:[-0.18824768, 4.8590393, 9.003403]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777799643623Acc:[0.5731201, 3.8630524, 8.740036]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777863211738Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777913565742Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778435477363Acc:[0.6784668, 3.8151703, 8.955505]Gyro:[0.01902771, 6.5612793E-4, -0.0024108887]Mag:[-21.08612, 30.505371, -56.140137]Pre:nullrot:[0.22418801, -0.06348423, -0.1653304, 0.958319, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778499045478Acc:[0.017669678, 4.260483, 9.199722]Gyro:[0.01902771, 6.5612793E-4, -0.0024108887]Mag:[-21.08612, 30.505371, -56.140137]Pre:nullrot:[0.22418801, -0.06348423, -0.1653304, 0.958319, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778517813789Acc:[0.017669678, 4.260483, 9.199722]Gyro:[0.030517578, 0.0014953613, -0.005203247]Mag:[-21.08612, 30.505371, -56.140137]Pre:nullrot:[0.22418801, -0.06348423, -0.1653304, 0.958319, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778517813789Acc:[0.017669678, 4.260483, 9.199722]Gyro:[0.030517578, 0.0014953613, -0.005203247]Mag:[-19.210815, 29.830933, -55.014038]Pre:nullrot:[0.22418801, -0.06348423, -0.1653304, 0.958319, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778517813789Acc:[0.017669678, 4.260483, 9.199722]Gyro:[0.030517578, 0.0014953613, -0.005203247]Mag:[-19.210815, 29.830933, -55.014038]Pre:nullrot:[0.20881014, -0.058539797, -0.16870165, 0.96151507, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778562674629Acc:[0.1804657, 4.1120453, 9.118317]Gyro:[0.030517578, 0.0014953613, -0.005203247]Mag:[-19.210815, 29.830933, -55.014038]Pre:nullrot:[0.20881014, -0.058539797, -0.16870165, 0.96151507, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778626273262Acc:[0.37680054, 4.1551514, 9.276337]Gyro:[0.030517578, 0.0014953613, -0.005203247]Mag:[-19.210815, 29.830933, -55.014038]Pre:nullrot:[0.20881014, -0.058539797, -0.16870165, 0.96151507, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778689871894Acc:[0.22834778, 4.1359863, 8.519775]Gyro:[0.030517578, 0.0014953613, -0.005203247]Mag:[-19.210815, 29.830933, -55.014038]Pre:nullrot:[0.20881014, -0.058539797, -0.16870165, 0.96151507, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778719229805Acc:[0.22834778, 4.1359863, 8.519775]Gyro:[0.030517578, 0.0014953613, -0.005203247]Mag:[-19.210815, 29.830933, -55.014038]Pre:nullrot:[0.20881017, -0.05853969, -0.16870116, 0.9615151, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778719229805Acc:[0.22834778, 4.1359863, 8.519775]Gyro:[0.041244507, 0.0020751953, -0.006576538]Mag:[-19.210815, 29.830933, -55.014038]Pre:nullrot:[0.20881017, -0.05853969, -0.16870116, 0.9615151, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
