time:77186455754446Acc:[0.22834778, 2.4552612, 9.419983]Gyro:[-0.05960083, -0.024139404, -0.07258606]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.1268777, 0.011968145, 0.101514, 0.9866376, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186455754446Acc:[0.22834778, 2.4552612, 9.419983]Gyro:[-0.06451416, -0.02758789, -0.073516846]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.1268777, 0.011968145, 0.101514, 0.9866376, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186486973929Acc:[0.13258362, 2.4600372, 9.640244]Gyro:[-0.06451416, -0.02758789, -0.073516846]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.1268777, 0.011968145, 0.101514, 0.9866376, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186550633597Acc:[0.1517334, 2.383438, 9.467865]Gyro:[-0.06451416, -0.02758789, -0.073516846]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.1268777, 0.011968145, 0.101514, 0.9866376, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186614201712Acc:[0.17089844, 2.340332, 9.510971]Gyro:[-0.06451416, -0.02758789, -0.073516846]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.1268777, 0.011968145, 0.101514, 0.9866376, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186677769827Acc:[0.30496216, 2.5175018, 10.138245]Gyro:[-0.06451416, -0.02758789, -0.073516846]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.1268777, 0.011968145, 0.101514, 0.9866376, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186656773733Acc:[0.30496216, 2.5175018, 10.138245]Gyro:[-0.06451416, -0.02758789, -0.073516846]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.1268777, 0.011968145, 0.101514, 0.9866376, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186656773733Acc:[0.30496216, 2.5175018, 10.138245]Gyro:[-0.06451416, -0.02758789, -0.073516846]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.12647161, 0.0075319917, 0.10242724, 0.9866392, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186656773733Acc:[0.30496216, 2.5175018, 10.138245]Gyro:[-0.06568909, -0.028717041, -0.07052612]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.12647161, 0.0075319917, 0.10242724, 0.9866392, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186741368460Acc:[0.209198, 2.4648285, 8.773544]Gyro:[-0.06568909, -0.028717041, -0.07052612]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.12647161, 0.0075319917, 0.10242724, 0.9866392, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186804997610Acc:[0.15652466, 2.426529, 9.688141]Gyro:[-0.06568909, -0.028717041, -0.07052612]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.12647161, 0.0075319917, 0.10242724, 0.9866392, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186868657278Acc:[0.0655365, 2.4792023, 9.582794]Gyro:[-0.06568909, -0.028717041, -0.07052612]Mag:[7.2631836, 32.380676, -15.864563]Pre:nullrot:[0.12647161, 0.0075319917, 0.10242724, 0.9866392, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186858525442Acc:[0.0655365, 2.4792023, 9.582794]Gyro:[-0.06568909, -0.028717041, -0.07052612]Mag:[7.1884155, 32.380676, -15.864563]Pre:nullrot:[0.12647161, 0.0075319917, 0.10242724, 0.9866392, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186858525442Acc:[0.0655365, 2.4792023, 9.582794]Gyro:[-0.06568909, -0.028717041, -0.07052612]Mag:[7.1884155, 32.380676, -15.864563]Pre:nullrot:[0.12561005, 0.0041860854, 0.10267694, 0.98674315, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
