time:76880202639073Acc:[-0.54737854, 2.474411, 9.386475]Gyro:[0.007247925, 0.007156372, 0.02293396]Mag:[12.213135, 29.530334, -13.6154175]Pre:nullrot:[0.122998565, 0.051467028, 0.17076139, 0.97624946, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880202639073Acc:[-0.54737854, 2.474411, 9.386475]Gyro:[0.002822876, 0.0079956055, 0.020568848]Mag:[12.213135, 29.530334, -13.6154175]Pre:nullrot:[0.122998565, 0.051467028, 0.17076139, 0.97624946, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880257051915Acc:[-0.47076416, 2.3930054, 9.52533]Gyro:[0.002822876, 0.0079956055, 0.020568848]Mag:[12.213135, 29.530334, -13.6154175]Pre:nullrot:[0.122998565, 0.051467028, 0.17076139, 0.97624946, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880320620030Acc:[-0.60484314, 2.4217377, 9.635468]Gyro:[0.002822876, 0.0079956055, 0.020568848]Mag:[12.213135, 29.530334, -13.6154175]Pre:nullrot:[0.122998565, 0.051467028, 0.17076139, 0.97624946, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880384218663Acc:[-0.5809021, 2.402588, 9.424774]Gyro:[0.002822876, 0.0079956055, 0.020568848]Mag:[12.213135, 29.530334, -13.6154175]Pre:nullrot:[0.122998565, 0.051467028, 0.17076139, 0.97624946, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880404055089Acc:[-0.5809021, 2.402588, 9.424774]Gyro:[0.002822876, 0.0079956055, 0.020568848]Mag:[12.213135, 29.530334, -13.6154175]Pre:nullrot:[0.118584685, 0.050126065, 0.17438515, 0.9762248, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880404055089Acc:[-0.5809021, 2.402588, 9.424774]Gyro:[0.002822876, 0.0079956055, 0.020568848]Mag:[12.588501, 29.980469, -12.939453]Pre:nullrot:[0.118584685, 0.050126065, 0.17438515, 0.9762248, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880404055089Acc:[-0.5809021, 2.402588, 9.424774]Gyro:[0.0011444092, 0.010025024, 0.018981934]Mag:[12.588501, 29.980469, -12.939453]Pre:nullrot:[0.118584685, 0.050126065, 0.17438515, 0.9762248, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880447756261Acc:[-0.56173706, 2.3738556, 9.764755]Gyro:[0.0011444092, 0.010025024, 0.018981934]Mag:[12.588501, 29.980469, -12.939453]Pre:nullrot:[0.118584685, 0.050126065, 0.17438515, 0.9762248, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880511324376Acc:[-0.53300476, 2.60849, 9.199722]Gyro:[0.0011444092, 0.010025024, 0.018981934]Mag:[12.588501, 29.980469, -12.939453]Pre:nullrot:[0.118584685, 0.050126065, 0.17438515, 0.9762248, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
