time:1150938608170Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121581552506Acc:[-0.46118164, 3.7433472, 8.792709]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121645059586Acc:[-0.9065094, 3.2932281, 9.573212]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121708566666Acc:[-0.81552124, 3.3506927, 9.386475]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121772104263Acc:[-0.73890686, 3.628418, 8.826218]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121835641861Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121901590347Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122470834732Acc:[-0.7341156, 3.149582, 9.424774]Gyro:[-0.033050537, -0.014251709, 0.0021820068]Mag:[-14.486694, 37.031555, -55.314636]Pre:nullrot:[0.18136092, 0.009522268, -0.15796484, 0.9706001, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122505838394Acc:[-0.7341156, 3.149582, 9.424774]Gyro:[-0.02166748, -0.0096588135, 0.0019226074]Mag:[-14.486694, 37.031555, -55.314636]Pre:nullrot:[0.18136092, 0.009522268, -0.15796484, 0.9706001, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122505838394Acc:[-0.7341156, 3.149582, 9.424774]Gyro:[-0.02166748, -0.0096588135, 0.0019226074]Mag:[-14.486694, 37.031555, -55.314636]Pre:nullrot:[0.18194973, 0.0092663765, -0.15755348, 0.9705593, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122505838394Acc:[-0.7341156, 3.149582, 9.424774]Gyro:[-0.02166748, -0.0096588135, 0.0019226074]Mag:[-14.337158, 37.106323, -55.23987]Pre:nullrot:[0.18194973, 0.0092663765, -0.15755348, 0.9705593, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122534372330Acc:[-0.5856781, 3.2597046, 9.027344]Gyro:[-0.02166748, -0.0096588135, 0.0019226074]Mag:[-14.337158, 37.106323, -55.23987]Pre:nullrot:[0.18194973, 0.0092663765, -0.15755348, 0.9705593, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122597879410Acc:[-0.5234375, 3.221405, 9.156616]Gyro:[-0.02166748, -0.0096588135, 0.0019226074]Mag:[-14.337158, 37.106323, -55.23987]Pre:nullrot:[0.18194973, 0.0092663765, -0.15755348, 0.9705593, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122661417008Acc:[-0.59046936, 3.2357635, 9.194931]Gyro:[-0.02166748, -0.0096588135, 0.0019226074]Mag:[-14.337158, 37.106323, -55.23987]Pre:nullrot:[0.18194973, 0.0092663765, -0.15755348, 0.9705593, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122707284928Acc:[-0.59046936, 3.2357635, 9.194931]Gyro:[-0.02166748, -0.0096588135, 0.0019226074]Mag:[-14.337158, 37.106323, -55.23987]Pre:nullrot:[0.17328377, 0.008719395, -0.15844318, 0.97200435, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122707284928Acc:[-0.59046936, 3.2357635, 9.194931]Gyro:[-0.02166748, -0.0096588135, 0.0019226074]Mag:[-14.186096, 36.506653, -55.163574]Pre:nullrot:[0.17328377, 0.008719395, -0.15844318, 0.97200435, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122707284928Acc:[-0.59046936, 3.2357635, 9.194931]Gyro:[-0.016525269, -0.007232666, 8.69751E-4]Mag:[-14.186096, 36.506653, -55.163574]Pre:nullrot:[0.17328377, 0.008719395, -0.15844318, 0.97200435, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
