time:789129340295802Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160878564845Acc:[0.68803406, 5.309143, 8.031357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160942316065Acc:[0.53001404, 5.1223907, 8.864532]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161006128321Acc:[0.90830994, 4.782425, 8.687363]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161069940577Acc:[0.7885895, 5.0026855, 8.428787]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161134149562Acc:[0.8699951, 4.8255157, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161197534571Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161195734034Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161771661769Acc:[0.3241272, 5.534195, 8.064865]Gyro:[-1.6784668E-4, 0.024627686, -0.012420654]Mag:[-41.33606, 34.857178, -43.014526]Pre:nullrot:[0.24336745, -0.11408513, -0.32687944, 0.906039, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161799982081Acc:[0.3241272, 5.534195, 8.064865]Gyro:[-1.6784668E-4, 0.024627686, -0.012420654]Mag:[-41.48712, 33.65631, -45.19043]Pre:nullrot:[0.24336745, -0.11408513, -0.32687944, 0.906039, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161799982081Acc:[0.3241272, 5.534195, 8.064865]Gyro:[-1.6784668E-4, 0.024627686, -0.012420654]Mag:[-41.48712, 33.65631, -45.19043]Pre:nullrot:[0.25374755, -0.10919299, -0.32281876, 0.9052498, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161799982081Acc:[0.3241272, 5.534195, 8.064865]Gyro:[0.0026397705, 0.027297974, -0.0074310303]Mag:[-41.48712, 33.65631, -45.19043]Pre:nullrot:[0.25374755, -0.10919299, -0.32281876, 0.9052498, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161835412989Acc:[0.5156555, 5.5437775, 7.9882507]Gyro:[0.0026397705, 0.027297974, -0.0074310303]Mag:[-41.48712, 33.65631, -45.19043]Pre:nullrot:[0.25374755, -0.10919299, -0.32281876, 0.9052498, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161899255763Acc:[0.73114014, 5.4336395, 8.031357]Gyro:[0.0026397705, 0.027297974, -0.0074310303]Mag:[-41.48712, 33.65631, -45.19043]Pre:nullrot:[0.25374755, -0.10919299, -0.32281876, 0.9052498, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161963037501Acc:[0.47735596, 5.3905487, 7.9978333]Gyro:[0.0026397705, 0.027297974, -0.0074310303]Mag:[-41.48712, 33.65631, -45.19043]Pre:nullrot:[0.25374755, -0.10919299, -0.32281876, 0.9052498, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162027002345Acc:[0.4725647, 5.558136, 7.9116516]Gyro:[0.0026397705, 0.027297974, -0.0074310303]Mag:[-41.48712, 33.65631, -45.19043]Pre:nullrot:[0.25374755, -0.10919299, -0.32281876, 0.9052498, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162002130519Acc:[0.4725647, 5.558136, 7.9116516]Gyro:[0.0026397705, 0.027297974, -0.0074310303]Mag:[-41.48712, 33.955383, -45.939636]Pre:nullrot:[0.25374755, -0.10919299, -0.32281876, 0.9052498, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162002130519Acc:[0.4725647, 5.558136, 7.9116516]Gyro:[0.0026397705, 0.027297974, -0.0074310303]Mag:[-41.48712, 33.955383, -45.939636]Pre:nullrot:[0.27104506, -0.1082463, -0.32208204, 0.9006001, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
