time:790026173115690Acc:[0.82211304, 4.1407776, 8.423996]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:789900136840266Acc:[0.82211304, 4.1407776, 8.423996]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026237670345Acc:[0.0894928, 4.2365417, 9.089584]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026301421565Acc:[0.4151001, 4.0928955, 8.701721]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026365203304Acc:[0.2953949, 4.265274, 8.85495]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026428954524Acc:[0.28581238, 4.193451, 8.883682]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026492705745Acc:[0.23313904, 4.1599274, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026478942317Acc:[0.23313904, 4.1599274, 8.921997]Gyro:nullMag:[-42.762756, 42.356873, -52.464294]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027066466731Acc:[0.43904114, 4.217392, 8.7304535]Gyro:[0.0045318604, -0.003921509, 0.002090454]Mag:[-38.03711, 40.631104, -53.14026]Pre:nullrot:[0.20710155, -0.07557592, -0.27789813, 0.9349705, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027083159846Acc:[0.43904114, 4.217392, 8.7304535]Gyro:[0.0045318604, -0.003921509, 0.002090454]Mag:[-39.012146, 40.631104, -53.5141]Pre:nullrot:[0.20710155, -0.07557592, -0.27789813, 0.9349705, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027083159846Acc:[0.43904114, 4.217392, 8.7304535]Gyro:[0.0045318604, -0.003921509, 0.002090454]Mag:[-39.012146, 40.631104, -53.5141]Pre:nullrot:[0.20546937, -0.07397501, -0.27728418, 0.9356407, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027083159846Acc:[0.43904114, 4.217392, 8.7304535]Gyro:[0.0046844482, -0.003326416, 0.0052490234]Mag:[-39.012146, 40.631104, -53.5141]Pre:nullrot:[0.20546937, -0.07397501, -0.27728418, 0.9356407, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027130217952Acc:[0.25708008, 4.356262, 8.701721]Gyro:[0.0046844482, -0.003326416, 0.0052490234]Mag:[-39.012146, 40.631104, -53.5141]Pre:nullrot:[0.20546937, -0.07397501, -0.27728418, 0.9356407, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027193938655Acc:[0.42468262, 4.3706207, 8.735245]Gyro:[0.0046844482, -0.003326416, 0.0052490234]Mag:[-39.012146, 40.631104, -53.5141]Pre:nullrot:[0.20546937, -0.07397501, -0.27728418, 0.9356407, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027257689876Acc:[0.34806824, 4.337097, 8.673004]Gyro:[0.0046844482, -0.003326416, 0.0052490234]Mag:[-39.012146, 40.631104, -53.5141]Pre:nullrot:[0.20546937, -0.07397501, -0.27728418, 0.9356407, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027284636897Acc:[0.34806824, 4.337097, 8.673004]Gyro:[0.0046844482, -0.003326416, 0.0052490234]Mag:[-39.53705, 40.33203, -53.663635]Pre:nullrot:[0.20546937, -0.07397501, -0.27728418, 0.9356407, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027284636897Acc:[0.34806824, 4.337097, 8.673004]Gyro:[0.0046844482, -0.003326416, 0.0052490234]Mag:[-39.53705, 40.33203, -53.663635]Pre:nullrot:[0.20993203, -0.077927805, -0.27404422, 0.93528366, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027284636897Acc:[0.34806824, 4.337097, 8.673004]Gyro:[0.005996704, -0.0018310547, 0.013519287]Mag:[-39.53705, 40.33203, -53.663635]Pre:nullrot:[0.20993203, -0.077927805, -0.27404422, 0.93528366, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027321441096Acc:[0.28102112, 4.5382233, 8.620331]Gyro:[0.005996704, -0.0018310547, 0.013519287]Mag:[-39.53705, 40.33203, -53.663635]Pre:nullrot:[0.20993203, -0.077927805, -0.27404422, 0.93528366, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027385222835Acc:[0.23313904, 4.5477905, 8.634689]Gyro:[0.005996704, -0.0018310547, 0.013519287]Mag:[-39.53705, 40.33203, -53.663635]Pre:nullrot:[0.20993203, -0.077927805, -0.27404422, 0.93528366, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027448943538Acc:[0.40074158, 4.4328613, 8.285141]Gyro:[0.005996704, -0.0018310547, 0.013519287]Mag:[-39.53705, 40.33203, -53.663635]Pre:nullrot:[0.20993203, -0.077927805, -0.27404422, 0.93528366, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027511962337Acc:[-0.058944702, 4.423294, 8.931564]Gyro:[0.005996704, -0.0018310547, 0.013519287]Mag:[-39.53705, 40.33203, -53.663635]Pre:nullrot:[0.20993203, -0.077927805, -0.27404422, 0.93528366, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027487182063Acc:[-0.058944702, 4.423294, 8.931564]Gyro:[0.005996704, -0.0018310547, 0.013519287]Mag:[-39.53705, 40.33203, -53.663635]Pre:nullrot:[0.21713433, -0.080039725, -0.27177995, 0.93412095, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027487182063Acc:[-0.058944702, 4.423294, 8.931564]Gyro:[0.005996704, -0.0018310547, 0.013519287]Mag:[-39.161682, 39.656067, -53.5141]Pre:nullrot:[0.21713433, -0.080039725, -0.27177995, 0.93412095, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
