time:790281424040770Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790409973692870Acc:[0.5443878, 4.6435547, 8.634689]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410037627196Acc:[0.39115906, 4.76326, 8.313873]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410100829100Acc:[0.27622986, 4.686661, 8.4335785]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410165099120Acc:[-0.039794922, 4.4137115, 8.878906]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410228880858Acc:[-0.087677, 4.380188, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410292632079Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410277190184Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410866454100Acc:[-0.36062622, 4.5429993, 8.672989]Gyro:[-0.02243042, -0.0068969727, 9.0026855E-4]Mag:[-36.686707, 35.38208, -48.48938]Pre:nullrot:[0.22727053, -0.07543129, -0.29952314, 0.9235497, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410881407713Acc:[-0.36062622, 4.5429993, 8.672989]Gyro:[-0.02243042, -0.0068969727, 9.0026855E-4]Mag:[-37.586975, 35.83069, -49.014282]Pre:nullrot:[0.22727053, -0.07543129, -0.29952314, 0.9235497, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410881407713Acc:[-0.36062622, 4.5429993, 8.672989]Gyro:[-0.01550293, -0.0023345947, 0.003189087]Mag:[-37.586975, 35.83069, -49.014282]Pre:nullrot:[0.22727053, -0.07543129, -0.29952314, 0.9235497, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410881407713Acc:[-0.36062622, 4.5429993, 8.672989]Gyro:[-0.01550293, -0.0023345947, 0.003189087]Mag:[-37.586975, 35.83069, -49.014282]Pre:nullrot:[0.22762862, -0.071267456, -0.29890534, 0.9239923, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410930174803Acc:[-0.34147644, 4.5669403, 8.610748]Gyro:[-0.01550293, -0.0023345947, 0.003189087]Mag:[-37.586975, 35.83069, -49.014282]Pre:nullrot:[0.22762862, -0.071267456, -0.29890534, 0.9239923, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410993987059Acc:[-0.29359436, 4.562149, 8.663422]Gyro:[-0.01550293, -0.0023345947, 0.003189087]Mag:[-37.586975, 35.83069, -49.014282]Pre:nullrot:[0.22762862, -0.071267456, -0.29890534, 0.9239923, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411057738280Acc:[-0.26963806, 4.5382233, 8.701721]Gyro:[-0.01550293, -0.0023345947, 0.003189087]Mag:[-37.586975, 35.83069, -49.014282]Pre:nullrot:[0.22762862, -0.071267456, -0.29890534, 0.9239923, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411082854247Acc:[-0.26963806, 4.5382233, 8.701721]Gyro:[-0.01550293, -0.0023345947, 0.003189087]Mag:[-36.686707, 35.980225, -49.16382]Pre:nullrot:[0.22762862, -0.071267456, -0.29890534, 0.9239923, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411082854247Acc:[-0.26963806, 4.5382233, 8.701721]Gyro:[-0.01550293, -0.0023345947, 0.003189087]Mag:[-36.686707, 35.980225, -49.16382]Pre:nullrot:[0.22942227, -0.06287504, -0.30439612, 0.9223639, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411082854247Acc:[-0.26963806, 4.5382233, 8.701721]Gyro:[-0.0103302, 0.0047912598, 0.00579834]Mag:[-36.686707, 35.980225, -49.16382]Pre:nullrot:[0.22942227, -0.06287504, -0.30439612, 0.9223639, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
