time:789291624013381Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295496449904Acc:[0.26187134, 8.344986, 4.928467]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295560231642Acc:[0.19483948, 8.373718, 5.00029]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295624104933Acc:[0.19004822, 8.383301, 4.8518524]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295687886672Acc:[0.28102112, 8.335419, 4.9428253]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295751393752Acc:[0.22355652, 8.368942, 4.9476166]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295815328078Acc:[0.20440674, 8.3497925, 4.9667664]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295842366652Acc:[0.20440674, 8.3497925, 4.9667664]Gyro:nullMag:[-42.912292, 17.080688, -44.06433]Pre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296389668898Acc:[0.65452576, 8.153458, 4.655533]Gyro:[0.031097412, 0.027191162, -0.034347534]Mag:[-40.36255, 14.906311, -44.06433]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296453481154Acc:[0.40074158, 8.392868, 4.799179]Gyro:[0.031097412, 0.027191162, -0.034347534]Mag:[-40.36255, 14.906311, -44.06433]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296446279006Acc:[0.40074158, 8.392868, 4.799179]Gyro:[0.07345581, 0.03425598, -0.022445679]Mag:[-40.36255, 14.906311, -44.06433]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296446279006Acc:[0.40074158, 8.392868, 4.799179]Gyro:[0.07345581, 0.03425598, -0.022445679]Mag:[-40.811157, 14.906311, -43.989563]Pre:nullrot:[0.45990407, -0.18716155, -0.30578104, 0.8123772, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296446279006Acc:[0.40074158, 8.392868, 4.799179]Gyro:[0.07345581, 0.03425598, -0.022445679]Mag:[-40.811157, 14.906311, -43.989563]Pre:nullrot:[0.46127194, -0.1869053, -0.30526993, 0.81185275, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296517262892Acc:[0.33848572, 8.392883, 5.029022]Gyro:[0.07345581, 0.03425598, -0.022445679]Mag:[-40.811157, 14.906311, -43.989563]Pre:nullrot:[0.46127194, -0.1869053, -0.30526993, 0.81185275, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296581075148Acc:[0.31933594, 8.412033, 4.6315765]Gyro:[0.07345581, 0.03425598, -0.022445679]Mag:[-40.811157, 14.906311, -43.989563]Pre:nullrot:[0.46127194, -0.1869053, -0.30526993, 0.81185275, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296644856886Acc:[-0.18345642, 8.555679, 4.6076355]Gyro:[0.07345581, 0.03425598, -0.022445679]Mag:[-40.811157, 14.906311, -43.989563]Pre:nullrot:[0.46127194, -0.1869053, -0.30526993, 0.81185275, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296648030715Acc:[-0.18345642, 8.555679, 4.6076355]Gyro:[0.07345581, 0.03425598, -0.022445679]Mag:[-39.53705, 13.25531, -43.688965]Pre:nullrot:[0.46127194, -0.1869053, -0.30526993, 0.81185275, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296648030715Acc:[-0.18345642, 8.555679, 4.6076355]Gyro:[0.07345581, 0.03425598, -0.022445679]Mag:[-39.53705, 13.25531, -43.688965]Pre:nullrot:[0.4616529, -0.19579992, -0.29835424, 0.81211066, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296648030715Acc:[-0.18345642, 8.555679, 4.6076355]Gyro:[0.07884216, 0.033859253, -0.011108398]Mag:[-39.53705, 13.25531, -43.688965]Pre:nullrot:[0.4616529, -0.19579992, -0.29835424, 0.81211066, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296708760695Acc:[-0.84425354, 8.881302, 4.0904846]Gyro:[0.07884216, 0.033859253, -0.011108398]Mag:[-39.53705, 13.25531, -43.688965]Pre:nullrot:[0.4616529, -0.19579992, -0.29835424, 0.81211066, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296772511916Acc:[-1.260849, 9.2643585, 3.554184]Gyro:[0.07884216, 0.033859253, -0.011108398]Mag:[-39.53705, 13.25531, -43.688965]Pre:nullrot:[0.4616529, -0.19579992, -0.29835424, 0.81211066, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296836263136Acc:[-0.5856781, 8.775955, 4.2197876]Gyro:[0.07884216, 0.033859253, -0.011108398]Mag:[-39.53705, 13.25531, -43.688965]Pre:nullrot:[0.4616529, -0.19579992, -0.29835424, 0.81211066, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296849416213Acc:[-0.5856781, 8.775955, 4.2197876]Gyro:[0.07884216, 0.033859253, -0.011108398]Mag:[-39.53705, 13.25531, -43.688965]Pre:nullrot:[0.4700871, -0.18730924, -0.30447024, 0.806989, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296849416213Acc:[-0.5856781, 8.775955, 4.2197876]Gyro:[0.07711792, 0.033233643, -0.002746582]Mag:[-39.53705, 13.25531, -43.688965]Pre:nullrot:[0.4700871, -0.18730924, -0.30447024, 0.806989, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296849416213Acc:[-0.5856781, 8.775955, 4.2197876]Gyro:[0.07711792, 0.033233643, -0.002746582]Mag:[-36.387634, 12.5061035, -42.189026]Pre:nullrot:[0.4700871, -0.18730924, -0.30447024, 0.806989, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296900075392Acc:[-0.10682678, 8.641876, 4.3490753]Gyro:[0.07711792, 0.033233643, -0.002746582]Mag:[-36.387634, 12.5061035, -42.189026]Pre:nullrot:[0.4700871, -0.18730924, -0.30447024, 0.806989, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789296963826613Acc:[0.13258362, 8.560471, 4.7465057]Gyro:[0.07711792, 0.033233643, -0.002746582]Mag:[-36.387634, 12.5061035, -42.189026]Pre:nullrot:[0.4700871, -0.18730924, -0.30447024, 0.806989, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297027669386Acc:[0.33848572, 8.493439, 4.550186]Gyro:[0.07711792, 0.033233643, -0.002746582]Mag:[-36.387634, 12.5061035, -42.189026]Pre:nullrot:[0.4700871, -0.18730924, -0.30447024, 0.806989, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297050496535Acc:[0.33848572, 8.493439, 4.550186]Gyro:[0.07711792, 0.033233643, -0.002746582]Mag:[-36.387634, 12.5061035, -42.189026]Pre:nullrot:[0.5051853, -0.17137519, -0.3140311, 0.78536797, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297050496535Acc:[0.33848572, 8.493439, 4.550186]Gyro:[0.07711792, 0.033233643, -0.002746582]Mag:[-36.761475, 12.88147, -41.43982]Pre:nullrot:[0.5051853, -0.17137519, -0.3140311, 0.78536797, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297050496535Acc:[0.33848572, 8.493439, 4.550186]Gyro:[0.1111145, 0.044952393, -0.0046844482]Mag:[-36.761475, 12.88147, -41.43982]Pre:nullrot:[0.5051853, -0.17137519, -0.3140311, 0.78536797, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297091481642Acc:[0.21398926, 8.455124, 4.617218]Gyro:[0.1111145, 0.044952393, -0.0046844482]Mag:[-36.761475, 12.88147, -41.43982]Pre:nullrot:[0.5051853, -0.17137519, -0.3140311, 0.78536797, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297155263381Acc:[0.5204468, 8.330627, 4.655533]Gyro:[0.1111145, 0.044952393, -0.0046844482]Mag:[-36.761475, 12.88147, -41.43982]Pre:nullrot:[0.5051853, -0.17137519, -0.3140311, 0.78536797, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297219045119Acc:[0.43904114, 8.546112, 4.636368]Gyro:[0.1111145, 0.044952393, -0.0046844482]Mag:[-36.761475, 12.88147, -41.43982]Pre:nullrot:[0.5051853, -0.17137519, -0.3140311, 0.78536797, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297251912551Acc:[0.43904114, 8.546112, 4.636368]Gyro:[0.13156128, 0.049575806, -0.0077056885]Mag:[-36.761475, 12.88147, -41.43982]Pre:nullrot:[0.5051853, -0.17137519, -0.3140311, 0.78536797, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297251912551Acc:[0.43904114, 8.546112, 4.636368]Gyro:[0.13156128, 0.049575806, -0.0077056885]Mag:[-37.062073, 12.88147, -41.21399]Pre:nullrot:[0.5051853, -0.17137519, -0.3140311, 0.78536797, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297251912551Acc:[0.43904114, 8.546112, 4.636368]Gyro:[0.13156128, 0.049575806, -0.0077056885]Mag:[-37.062073, 12.88147, -41.21399]Pre:nullrot:[0.48558277, -0.18423727, -0.3059488, 0.79791063, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
