time:789291624020738Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414249173325Acc:[-2.2376862, 6.6067963, 9.300278]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414312863511Acc:[-0.81552124, 5.984314, 8.826233]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414376797837Acc:[-1.3901367, 5.6395416, 7.605179]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414440549058Acc:[0.7694397, 5.6586914, 6.22612]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414504147691Acc:[0.8843689, 5.9795227, 6.22612]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414568173570Acc:[-1.0166321, 7.1957703, 7.4375916]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414577084702Acc:[-1.0166321, 7.1957703, 7.4375916]Gyro:nullMag:[-39.987183, 29.53186, -50.663757]Pre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415141537827Acc:[0.08470154, 6.3865356, 6.973114]Gyro:[-0.002380371, 0.030593872, -0.018203735]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.32563695, -0.088213705, -0.30068198, 0.892059, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415206875962Acc:[-0.0541687, 6.534973, 7.083252]Gyro:[-0.002380371, 0.030593872, -0.018203735]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.32563695, -0.088213705, -0.30068198, 0.892059, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415182034654Acc:[-0.0541687, 6.534973, 7.083252]Gyro:[-0.002380371, 0.030593872, -0.018203735]Mag:[-39.161682, 29.380798, -50.439453]Pre:nullrot:[0.33596694, -0.10294285, -0.28966144, 0.890295, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415182034654Acc:[-0.0541687, 6.534973, 7.083252]Gyro:[-0.002380371, 0.030593872, -0.018203735]Mag:[-39.761353, 29.455566, -50.51422]Pre:nullrot:[0.33596694, -0.10294285, -0.28966144, 0.890295, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415182034654Acc:[-0.0541687, 6.534973, 7.083252]Gyro:[0.0030059814, 0.032287598, -0.01914978]Mag:[-39.761353, 29.455566, -50.51422]Pre:nullrot:[0.33596694, -0.10294285, -0.28966144, 0.890295, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415269925279Acc:[-0.12120056, 6.415268, 7.2556305]Gyro:[0.0030059814, 0.032287598, -0.01914978]Mag:[-39.761353, 29.455566, -50.51422]Pre:nullrot:[0.33596694, -0.10294285, -0.28966144, 0.890295, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415333737534Acc:[-0.25527954, 6.161484, 7.5716553]Gyro:[0.0030059814, 0.032287598, -0.01914978]Mag:[-39.761353, 29.455566, -50.51422]Pre:nullrot:[0.33596694, -0.10294285, -0.28966144, 0.890295, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415397519273Acc:[-0.4994812, 6.367386, 7.633911]Gyro:[0.0030059814, 0.032287598, -0.01914978]Mag:[-39.761353, 29.455566, -50.51422]Pre:nullrot:[0.33596694, -0.10294285, -0.28966144, 0.890295, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415382748765Acc:[-0.4994812, 6.367386, 7.633911]Gyro:[0.0030059814, 0.032287598, -0.01914978]Mag:[-39.761353, 29.455566, -50.51422]Pre:nullrot:[0.33344436, -0.0979126, -0.29331148, 0.8906157, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415382748765Acc:[-0.4994812, 6.367386, 7.633911]Gyro:[0.0030059814, 0.032287598, -0.01914978]Mag:[-39.387512, 29.380798, -50.663757]Pre:nullrot:[0.33344436, -0.0979126, -0.29331148, 0.8906157, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415382748765Acc:[-0.4994812, 6.367386, 7.633911]Gyro:[0.011383057, 0.033477783, -0.019561768]Mag:[-39.387512, 29.380798, -50.663757]Pre:nullrot:[0.33344436, -0.0979126, -0.29331148, 0.8906157, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415461331529Acc:[-0.14035034, 6.0178223, 8.050507]Gyro:[0.011383057, 0.033477783, -0.019561768]Mag:[-39.387512, 29.380798, -50.663757]Pre:nullrot:[0.33344436, -0.0979126, -0.29331148, 0.8906157, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415525143784Acc:[-0.44203186, 5.6156006, 7.9308014]Gyro:[0.011383057, 0.033477783, -0.019561768]Mag:[-39.387512, 29.380798, -50.663757]Pre:nullrot:[0.33344436, -0.0979126, -0.29331148, 0.8906157, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415588895005Acc:[0.8364868, 6.104019, 7.3035126]Gyro:[0.011383057, 0.033477783, -0.019561768]Mag:[-39.387512, 29.380798, -50.663757]Pre:nullrot:[0.33344436, -0.0979126, -0.29331148, 0.8906157, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415584195298Acc:[0.8364868, 6.104019, 7.3035126]Gyro:[0.011383057, 0.033477783, -0.019561768]Mag:[-39.387512, 29.380798, -50.663757]Pre:nullrot:[0.33344436, -0.09791254, -0.29331133, 0.89061576, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415584195298Acc:[0.8364868, 6.104019, 7.3035126]Gyro:[0.011383057, 0.033477783, -0.019561768]Mag:[-39.611816, 29.606628, -50.663757]Pre:nullrot:[0.33344436, -0.09791254, -0.29331133, 0.89061576, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415584195298Acc:[0.8364868, 6.104019, 7.3035126]Gyro:[0.022903442, 0.034469604, -0.019058228]Mag:[-39.611816, 29.606628, -50.663757]Pre:nullrot:[0.33344436, -0.09791254, -0.29331133, 0.89061576, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415652676743Acc:[0.56832886, 5.941208, 7.8015137]Gyro:[0.022903442, 0.034469604, -0.019058228]Mag:[-39.611816, 29.606628, -50.663757]Pre:nullrot:[0.33344436, -0.09791254, -0.29331133, 0.89061576, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415716488999Acc:[0.27624512, 5.831085, 8.036133]Gyro:[0.022903442, 0.034469604, -0.019058228]Mag:[-39.611816, 29.606628, -50.663757]Pre:nullrot:[0.33344436, -0.09791254, -0.29331133, 0.89061576, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415780301255Acc:[-0.21696472, 5.960373, 8.227676]Gyro:[0.022903442, 0.034469604, -0.019058228]Mag:[-39.611816, 29.606628, -50.663757]Pre:nullrot:[0.33344436, -0.09791254, -0.29331133, 0.89061576, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415785580796Acc:[-0.21696472, 5.960373, 8.227676]Gyro:[0.022903442, 0.034469604, -0.019058228]Mag:[-39.611816, 29.606628, -50.663757]Pre:nullrot:[0.31348607, -0.10146287, -0.29313213, 0.8974995, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415785580796Acc:[-0.21696472, 5.960373, 8.227676]Gyro:[0.022903442, 0.034469604, -0.019058228]Mag:[-39.912415, 29.9057, -50.663757]Pre:nullrot:[0.31348607, -0.10146287, -0.29313213, 0.8974995, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415785580796Acc:[-0.21696472, 5.960373, 8.227676]Gyro:[0.031692505, 0.033569336, -0.016281128]Mag:[-39.912415, 29.9057, -50.663757]Pre:nullrot:[0.31348607, -0.10146287, -0.29313213, 0.8974995, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415844113511Acc:[0.19004822, 6.0465546, 7.3035126]Gyro:[0.031692505, 0.033569336, -0.016281128]Mag:[-39.912415, 29.9057, -50.663757]Pre:nullrot:[0.31348607, -0.10146287, -0.29313213, 0.8974995, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415908017320Acc:[0.4151001, 5.96994, 7.8446045]Gyro:[0.031692505, 0.033569336, -0.016281128]Mag:[-39.912415, 29.9057, -50.663757]Pre:nullrot:[0.31348607, -0.10146287, -0.29313213, 0.8974995, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415971707505Acc:[0.26187134, 6.1327515, 7.3897095]Gyro:[0.031692505, 0.033569336, -0.016281128]Mag:[-39.912415, 29.9057, -50.663757]Pre:nullrot:[0.31348607, -0.10146287, -0.29313213, 0.8974995, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415986996812Acc:[0.26187134, 6.1327515, 7.3897095]Gyro:[0.031692505, 0.033569336, -0.016281128]Mag:[-40.36255, 29.830933, -50.81482]Pre:nullrot:[0.31348607, -0.10146287, -0.29313213, 0.8974995, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415986996812Acc:[0.26187134, 6.1327515, 7.3897095]Gyro:[0.031692505, 0.033569336, -0.016281128]Mag:[-40.36255, 29.830933, -50.81482]Pre:nullrot:[0.301168, -0.10477438, -0.2922137, 0.90162706, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789415986996812Acc:[0.26187134, 6.1327515, 7.3897095]Gyro:[0.037597656, 0.032562256, -0.013702393]Mag:[-40.36255, 29.830933, -50.81482]Pre:nullrot:[0.301168, -0.10477438, -0.2922137, 0.90162706, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416034665269Acc:[0.25230408, 6.2045746, 7.5764465]Gyro:[0.037597656, 0.032562256, -0.013702393]Mag:[-40.36255, 29.830933, -50.81482]Pre:nullrot:[0.301168, -0.10477438, -0.2922137, 0.90162706, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416099301499Acc:[0.55874634, 6.0369873, 7.7536316]Gyro:[0.037597656, 0.032562256, -0.013702393]Mag:[-40.36255, 29.830933, -50.81482]Pre:nullrot:[0.301168, -0.10477438, -0.2922137, 0.90162706, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416163113755Acc:[0.5731201, 5.989105, 7.5046234]Gyro:[0.037597656, 0.032562256, -0.013702393]Mag:[-40.36255, 29.830933, -50.81482]Pre:nullrot:[0.301168, -0.10477438, -0.2922137, 0.90162706, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416188443345Acc:[0.5731201, 5.989105, 7.5046234]Gyro:[0.037597656, 0.032562256, -0.013702393]Mag:[-40.36255, 29.830933, -50.81482]Pre:nullrot:[0.30879346, -0.11117355, -0.2868226, 0.900011, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416188443345Acc:[0.5731201, 5.989105, 7.5046234]Gyro:[0.037597656, 0.032562256, -0.013702393]Mag:[-43.06183, 29.681396, -50.964355]Pre:nullrot:[0.30879346, -0.11117355, -0.2868226, 0.900011, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416188443345Acc:[0.5731201, 5.989105, 7.5046234]Gyro:[0.040512085, 0.030426025, -0.012390137]Mag:[-43.06183, 29.681396, -50.964355]Pre:nullrot:[0.30879346, -0.11117355, -0.2868226, 0.900011, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416226864976Acc:[0.1182251, 6.458359, 7.4806824]Gyro:[0.040512085, 0.030426025, -0.012390137]Mag:[-43.06183, 29.681396, -50.964355]Pre:nullrot:[0.30879346, -0.11117355, -0.2868226, 0.900011, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416291287583Acc:[0.08470154, 6.348221, 7.3753357]Gyro:[0.040512085, 0.030426025, -0.012390137]Mag:[-43.06183, 29.681396, -50.964355]Pre:nullrot:[0.30879346, -0.11117355, -0.2868226, 0.900011, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416354458970Acc:[-0.16908264, 6.530182, 7.284363]Gyro:[0.040512085, 0.030426025, -0.012390137]Mag:[-43.06183, 29.681396, -50.964355]Pre:nullrot:[0.30879346, -0.11117355, -0.2868226, 0.900011, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416389828843Acc:[-0.16908264, 6.530182, 7.284363]Gyro:[0.040512085, 0.030426025, -0.012390137]Mag:[-43.06183, 29.681396, -50.964355]Pre:nullrot:[0.30990514, -0.11873094, -0.28134292, 0.9003932, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416389828843Acc:[-0.16908264, 6.530182, 7.284363]Gyro:[0.040512085, 0.030426025, -0.012390137]Mag:[-42.012024, 29.156494, -50.889587]Pre:nullrot:[0.30990514, -0.11873094, -0.28134292, 0.9003932, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416389828843Acc:[-0.16908264, 6.530182, 7.284363]Gyro:[0.04109192, 0.028381348, -0.011489868]Mag:[-42.012024, 29.156494, -50.889587]Pre:nullrot:[0.30990514, -0.11873094, -0.28134292, 0.9003932, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416418057603Acc:[0.2379303, 6.372177, 7.289154]Gyro:[0.04109192, 0.028381348, -0.011489868]Mag:[-42.012024, 29.156494, -50.889587]Pre:nullrot:[0.30990514, -0.11873094, -0.28134292, 0.9003932, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416482052964Acc:[-0.03501892, 6.3625946, 7.5094147]Gyro:[0.04109192, 0.028381348, -0.011489868]Mag:[-42.012024, 29.156494, -50.889587]Pre:nullrot:[0.30990514, -0.11873094, -0.28134292, 0.9003932, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
