time:787979760186076Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:786650109679038Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979824705893Acc:[0.73114014, 4.562149, 8.99382]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979888426596Acc:[0.38157654, 4.5094757, 9.36731]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979952086264Acc:[0.64494324, 4.3658295, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980015806968Acc:[0.56832886, 4.447235, 8.701721]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980079558188Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980092284018Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980652952964Acc:[0.46777344, 4.3802032, 8.874115]Gyro:[-0.0058135986, 0.0011138916, 0.0017700195]Mag:[-39.012146, 36.88202, -47.213745]Pre:nullrot:[0.21231405, -0.09654059, -0.29143146, 0.9277232, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980716673667Acc:[0.6018524, 4.471176, 8.692154]Gyro:[-0.0058135986, 0.0011138916, 0.0017700195]Mag:[-39.012146, 36.88202, -47.213745]Pre:nullrot:[0.21231405, -0.09654059, -0.29143146, 0.9277232, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980696471030Acc:[0.6018524, 4.471176, 8.692154]Gyro:[-0.0058135986, 0.0011138916, 0.0017700195]Mag:[-39.012146, 36.88202, -47.213745]Pre:nullrot:[0.2120473, -0.09414666, -0.29050907, 0.92831933, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980696471030Acc:[0.6018524, 4.471176, 8.692154]Gyro:[-0.0058135986, 0.0011138916, 0.0017700195]Mag:[-39.086914, 37.405396, -47.213745]Pre:nullrot:[0.2120473, -0.09414666, -0.29050907, 0.92831933, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980696471030Acc:[0.6018524, 4.471176, 8.692154]Gyro:[-0.003921509, -0.0033874512, 0.0022125244]Mag:[-39.086914, 37.405396, -47.213745]Pre:nullrot:[0.2120473, -0.09414666, -0.29050907, 0.92831933, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980780394370Acc:[0.85084534, 4.3179474, 8.682571]Gyro:[-0.003921509, -0.0033874512, 0.0022125244]Mag:[-39.086914, 37.405396, -47.213745]Pre:nullrot:[0.2120473, -0.09414666, -0.29050907, 0.92831933, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980844084555Acc:[0.5204468, 4.686661, 8.629898]Gyro:[-0.003921509, -0.0033874512, 0.0022125244]Mag:[-39.086914, 37.405396, -47.213745]Pre:nullrot:[0.2120473, -0.09414666, -0.29050907, 0.92831933, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980907774741Acc:[0.55397034, 4.8255157, 8.265976]Gyro:[-0.003921509, -0.0033874512, 0.0022125244]Mag:[-39.086914, 37.405396, -47.213745]Pre:nullrot:[0.2120473, -0.09414666, -0.29050907, 0.92831933, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980897887046Acc:[0.55397034, 4.8255157, 8.265976]Gyro:[-0.003921509, -0.0033874512, 0.0022125244]Mag:[-39.086914, 37.031555, -47.213745]Pre:nullrot:[0.2120473, -0.09414666, -0.29050907, 0.92831933, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980897887046Acc:[0.55397034, 4.8255157, 8.265976]Gyro:[-0.003921509, -0.0033874512, 0.0022125244]Mag:[-39.086914, 37.031555, -47.213745]Pre:nullrot:[0.21169083, -0.09489401, -0.29003662, 0.92847234, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
