time:786650109674903Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787546845301124Acc:[1.3584137, 5.8789673, 7.3753357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787546909143897Acc:[1.4685516, 6.2285156, 6.2835846]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787546972895118Acc:[1.3919373, 5.9268494, 7.739258]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547036676856Acc:[0.99928284, 5.8406677, 8.471893]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547100458594Acc:[1.1094208, 5.912491, 7.542923]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547148523780Acc:[1.1094208, 5.912491, 7.542923]Gyro:nullMag:[-39.31122, 30.58014, -41.96472]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547652033301Acc:[1.071106, 5.8167114, 7.791931]Gyro:[0.023727417, 0.0048065186, -4.4250488E-4]Mag:[-41.56189, 30.430603, -46.46454]Pre:nullrot:[0.2864163, -0.15394546, -0.2820126, 0.90262693, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547652033301Acc:[1.071106, 5.8167114, 7.791931]Gyro:[0.023910522, 0.003692627, 4.119873E-4]Mag:[-41.56189, 30.430603, -46.46454]Pre:nullrot:[0.2864163, -0.15394546, -0.2820126, 0.90262693, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547674555274Acc:[1.0423737, 5.936432, 7.657852]Gyro:[0.023910522, 0.003692627, 4.119873E-4]Mag:[-41.56189, 30.430603, -46.46454]Pre:nullrot:[0.2864163, -0.15394546, -0.2820126, 0.90262693, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547738337012Acc:[1.0758972, 5.81192, 7.7727814]Gyro:[0.023910522, 0.003692627, 4.119873E-4]Mag:[-41.56189, 30.430603, -46.46454]Pre:nullrot:[0.2864163, -0.15394546, -0.2820126, 0.90262693, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547802088233Acc:[1.0519562, 5.7927704, 7.8062897]Gyro:[0.023910522, 0.003692627, 4.119873E-4]Mag:[-41.56189, 30.430603, -46.46454]Pre:nullrot:[0.2864163, -0.15394546, -0.2820126, 0.90262693, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547853479835Acc:[1.0519562, 5.7927704, 7.8062897]Gyro:[0.023910522, 0.003692627, 4.119873E-4]Mag:[-41.937256, 30.58014, -46.69037]Pre:nullrot:[0.2864163, -0.15394546, -0.2820126, 0.90262693, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547853479835Acc:[1.0519562, 5.7927704, 7.8062897]Gyro:[0.023529053, 0.0025482178, 0.0019226074]Mag:[-41.937256, 30.58014, -46.69037]Pre:nullrot:[0.2864163, -0.15394546, -0.2820126, 0.90262693, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547853479835Acc:[1.0519562, 5.7927704, 7.8062897]Gyro:[0.023529053, 0.0025482178, 0.0019226074]Mag:[-41.937256, 30.58014, -46.69037]Pre:nullrot:[0.28466722, -0.1512798, -0.28397593, 0.9030153, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547865931006Acc:[1.0375977, 5.8550262, 7.744049]Gyro:[0.023529053, 0.0025482178, 0.0019226074]Mag:[-41.937256, 30.58014, -46.69037]Pre:nullrot:[0.28466722, -0.1512798, -0.28397593, 0.9030153, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787547929651710Acc:[1.0519562, 5.7975616, 7.839813]Gyro:[0.023529053, 0.0025482178, 0.0019226074]Mag:[-41.937256, 30.58014, -46.69037]Pre:nullrot:[0.28466722, -0.1512798, -0.28397593, 0.9030153, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
