time:789679029694623Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717613434857Acc:[2.3113098, 6.6786194, 6.2787933]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717677216595Acc:[2.2107544, 6.645111, 6.7576294]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717740967816Acc:[2.158081, 6.716934, 6.8725586]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717804810589Acc:[2.0718842, 6.7073517, 7.0497284]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717868592328Acc:[2.1293488, 6.6594696, 6.6858063]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717931824750Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717909302777Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718506653851Acc:[1.9904785, 6.597229, 6.862976]Gyro:[0.025619507, -0.009002686, -0.0036315918]Mag:[-40.06195, 19.256592, -46.014404]Pre:nullrot:[0.32328278, -0.2136757, -0.25354216, 0.88631105, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718513856000Acc:[1.9904785, 6.597229, 6.862976]Gyro:[0.04309082, -0.0072784424, -0.0063934326]Mag:[-40.06195, 19.256592, -46.014404]Pre:nullrot:[0.32328278, -0.2136757, -0.25354216, 0.88631105, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718513856000Acc:[1.9904785, 6.597229, 6.862976]Gyro:[0.04309082, -0.0072784424, -0.0063934326]Mag:[-40.06195, 19.256592, -46.014404]Pre:nullrot:[0.3236799, -0.2109735, -0.25243086, 0.8871303, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718513856000Acc:[1.9904785, 6.597229, 6.862976]Gyro:[0.04309082, -0.0072784424, -0.0063934326]Mag:[-37.886047, 19.406128, -46.014404]Pre:nullrot:[0.3236799, -0.2109735, -0.25243086, 0.8871303, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718570344037Acc:[1.842041, 6.6259613, 6.8007355]Gyro:[0.04309082, -0.0072784424, -0.0063934326]Mag:[-37.886047, 19.406128, -46.014404]Pre:nullrot:[0.3236799, -0.2109735, -0.25243086, 0.8871303, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718634156293Acc:[1.6552887, 6.616379, 6.934799]Gyro:[0.04309082, -0.0072784424, -0.0063934326]Mag:[-37.886047, 19.406128, -46.014404]Pre:nullrot:[0.3236799, -0.2109735, -0.25243086, 0.8871303, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718697938031Acc:[1.2961578, 6.692993, 7.337021]Gyro:[0.04309082, -0.0072784424, -0.0063934326]Mag:[-37.886047, 19.406128, -46.014404]Pre:nullrot:[0.3236799, -0.2109735, -0.25243086, 0.8871303, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718715272015Acc:[1.2961578, 6.692993, 7.337021]Gyro:[0.04309082, -0.0072784424, -0.0063934326]Mag:[-37.886047, 19.406128, -46.014404]Pre:nullrot:[0.32274142, -0.20793782, -0.25542137, 0.887333, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718715272015Acc:[1.2961578, 6.692993, 7.337021]Gyro:[0.04309082, -0.0072784424, -0.0063934326]Mag:[-36.236572, 19.107056, -45.939636]Pre:nullrot:[0.32274142, -0.20793782, -0.25542137, 0.887333, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718715272015Acc:[1.2961578, 6.692993, 7.337021]Gyro:[0.052963257, -0.005783081, -0.009155273]Mag:[-36.236572, 19.107056, -45.939636]Pre:nullrot:[0.32274142, -0.20793782, -0.25542137, 0.887333, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
