time:790259264655678Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790047673356162Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259328751670Acc:[0.6497345, 4.9787445, 8.65863]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259392533409Acc:[0.7263489, 4.926071, 8.414429]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259456254112Acc:[0.45819092, 5.141556, 8.333023]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259519974815Acc:[0.5443878, 5.0026855, 8.352173]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259583756553Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259617966758Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260157395469Acc:[0.11343384, 5.2325287, 8.309082]Gyro:[0.021713257, 0.044265747, -0.045578003]Mag:[-41.78772, 31.330872, -35.813904]Pre:nullrot:[0.24146712, -0.1192539, -0.3404007, 0.9008882, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260221146690Acc:[0.041610718, 5.2660522, 8.222885]Gyro:[0.021713257, 0.044265747, -0.045578003]Mag:[-41.78772, 31.330872, -35.813904]Pre:nullrot:[0.24146712, -0.1192539, -0.3404007, 0.9008882, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260222245323Acc:[0.041610718, 5.2660522, 8.222885]Gyro:[0.021713257, 0.044265747, -0.045578003]Mag:[-41.56189, 31.330872, -35.739136]Pre:nullrot:[0.24146712, -0.1192539, -0.3404007, 0.9008882, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260222245323Acc:[0.041610718, 5.2660522, 8.222885]Gyro:[0.021713257, 0.044265747, -0.045578003]Mag:[-41.56189, 31.330872, -35.739136]Pre:nullrot:[0.24299861, -0.11769537, -0.34069616, 0.9005696, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260222245323Acc:[0.041610718, 5.2660522, 8.222885]Gyro:[0.04083252, 0.07991028, -0.086502075]Mag:[-41.56189, 31.330872, -35.739136]Pre:nullrot:[0.24299861, -0.11769537, -0.34069616, 0.9005696, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260284928428Acc:[0.04638672, 5.23732, 8.34259]Gyro:[0.04083252, 0.07991028, -0.086502075]Mag:[-41.56189, 31.330872, -35.739136]Pre:nullrot:[0.24299861, -0.11769537, -0.34069616, 0.9005696, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260348527061Acc:[0.05596924, 5.2469025, 8.2612]Gyro:[0.04083252, 0.07991028, -0.086502075]Mag:[-41.56189, 31.330872, -35.739136]Pre:nullrot:[0.24299861, -0.11769537, -0.34069616, 0.9005696, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260412369834Acc:[-0.0062713623, 5.299576, 8.213303]Gyro:[0.04083252, 0.07991028, -0.086502075]Mag:[-41.56189, 31.330872, -35.739136]Pre:nullrot:[0.24299861, -0.11769537, -0.34069616, 0.9005696, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260423630821Acc:[-0.0062713623, 5.299576, 8.213303]Gyro:[0.04083252, 0.07991028, -0.086502075]Mag:[-40.586853, 31.330872, -35.88867]Pre:nullrot:[0.24299861, -0.11769537, -0.34069616, 0.9005696, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260423630821Acc:[-0.0062713623, 5.299576, 8.213303]Gyro:[0.04083252, 0.07991028, -0.086502075]Mag:[-40.586853, 31.330872, -35.88867]Pre:nullrot:[0.25314388, -0.10954844, -0.34431303, 0.8974218, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
