time:241671152064Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[8.0]
time:241716925449Acc:nullGyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:241668708522Acc:[0.4747498, 3.613892, 8.8201]Gyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:242556500501Acc:[0.4019692, 3.7549043, 9.181608]Gyro:[0.013335593, 0.07984032, 0.015573293]Mag:[16.991575, -10.554436, -133.9793]Pre:[989.999]rot:[0.18693984, 0.031673003, 0.26069415, 0.9466197, 0.0]Mot:nullprox:[8.0]
time:242616925449Acc:[0.4019692, 3.7549043, 9.181608]Gyro:[0.013335593, 0.07984032, 0.015573293]Mag:[16.991575, -10.554436, -133.9793]Pre:[989.99365]rot:[0.18693984, 0.031673003, 0.26069415, 0.9466197, 0.0]Mot:nullprox:[8.0]
time:242716925449Acc:[0.4019692, 3.7549043, 9.181608]Gyro:[0.013335593, 0.07984032, 0.015573293]Mag:[16.991575, -10.554436, -133.9793]Pre:[989.9939]rot:[0.18693984, 0.031673003, 0.26069415, 0.9466197, 0.0]Mot:nullprox:[8.0]
time:242635631751Acc:[0.1139591, 3.7039104, 8.980265]Gyro:[0.013335593, 0.07984032, 0.015573293]Mag:[16.991575, -10.554436, -133.9793]Pre:[989.9939]rot:[0.18693984, 0.031673003, 0.26069415, 0.9466197, 0.0]Mot:nullprox:[8.0]
time:242664639824Acc:[0.1139591, 3.7039104, 8.980265]Gyro:[0.031661548, 0.04838077, 0.024186486]Mag:[16.991575, -10.554436, -133.9793]Pre:[989.9939]rot:[0.18693984, 0.031673003, 0.26069415, 0.9466197, 0.0]Mot:nullprox:[8.0]
time:242471254355Acc:[0.1139591, 3.7039104, 8.980265]Gyro:[0.031661548, 0.04838077, 0.024186486]Mag:[16.991575, -10.554436, -133.9793]Pre:[989.9939]rot:[0.18775558, 0.03821541, 0.26557085, 0.94485956, 0.0]Mot:nullprox:[8.0]
time:242756500501Acc:[0.1139591, 3.7039104, 8.980265]Gyro:[0.031661548, 0.04838077, 0.024186486]Mag:[18.414114, -10.827338, -134.90323]Pre:[989.9939]rot:[0.18775558, 0.03821541, 0.26557085, 0.94485956, 0.0]Mot:nullprox:[8.0]
time:242816925449Acc:[0.1139591, 3.7039104, 8.980265]Gyro:[0.031661548, 0.04838077, 0.024186486]Mag:[18.414114, -10.827338, -134.90323]Pre:[989.9951]rot:[0.18775558, 0.03821541, 0.26557085, 0.94485956, 0.0]Mot:nullprox:[8.0]
time:242916925449Acc:[0.1139591, 3.7039104, 8.980265]Gyro:[0.031661548, 0.04838077, 0.024186486]Mag:[18.414114, -10.827338, -134.90323]Pre:[989.99854]rot:[0.18775558, 0.03821541, 0.26557085, 0.94485956, 0.0]Mot:nullprox:[8.0]
time:242829016439Acc:[0.10869209, 3.7084591, 8.938607]Gyro:[0.031661548, 0.04838077, 0.024186486]Mag:[18.414114, -10.827338, -134.90323]Pre:[989.99854]rot:[0.18775558, 0.03821541, 0.26557085, 0.94485956, 0.0]Mot:nullprox:[8.0]
