time:786650109682437Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141291597720Acc:[1.3201141, 5.467163, 7.6003876]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141355318423Acc:[1.2817993, 5.3378754, 9.008194]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141418886538Acc:[1.3919373, 5.2660522, 8.720886]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141482424136Acc:[1.2147675, 5.3187256, 8.160645]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141546541568Acc:[1.1237793, 5.371399, 8.146271]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141610262271Acc:[1.0519562, 5.4049225, 8.031357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141627870913Acc:[1.0519562, 5.4049225, 8.031357]Gyro:nullMag:[-41.186523, 32.23114, -47.66388]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142183809634Acc:[1.2195435, 5.347458, 8.285141]Gyro:[-0.0050811768, 0.0012207031, 3.5095215E-4]Mag:[-42.312622, 32.006836, -47.66388]Pre:nullrot:[0.25222257, -0.14142565, -0.28169522, 0.9148936, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142232118960Acc:[1.2195435, 5.347458, 8.285141]Gyro:[-0.0050811768, 0.0012207031, 3.5095215E-4]Mag:[-42.312622, 32.006836, -47.66388]Pre:nullrot:[0.25385758, -0.14247285, -0.28211802, 0.9141484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142232118960Acc:[1.2195435, 5.347458, 8.285141]Gyro:[-0.0050811768, 0.0012207031, 3.5095215E-4]Mag:[-42.536926, 32.081604, -47.88971]Pre:nullrot:[0.25385758, -0.14247285, -0.28211802, 0.9141484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142232118960Acc:[1.2195435, 5.347458, 8.285141]Gyro:[-0.004486084, 9.765625E-4, 5.340576E-4]Mag:[-42.536926, 32.081604, -47.88971]Pre:nullrot:[0.25385758, -0.14247285, -0.28211802, 0.9141484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142247530337Acc:[1.2339172, 5.3187256, 8.170212]Gyro:[-0.004486084, 9.765625E-4, 5.340576E-4]Mag:[-42.536926, 32.081604, -47.88971]Pre:nullrot:[0.25385758, -0.14247285, -0.28211802, 0.9141484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142311220523Acc:[1.1094208, 5.39534, 8.179794]Gyro:[-0.004486084, 9.765625E-4, 5.340576E-4]Mag:[-42.536926, 32.081604, -47.88971]Pre:nullrot:[0.25385758, -0.14247285, -0.28211802, 0.9141484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142374941226Acc:[1.1716614, 5.404907, 7.8829193]Gyro:[-0.004486084, 9.765625E-4, 5.340576E-4]Mag:[-42.536926, 32.081604, -47.88971]Pre:nullrot:[0.25385758, -0.14247285, -0.28211802, 0.9141484, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142433534976Acc:[1.1716614, 5.404907, 7.8829193]Gyro:[-0.004486084, 9.765625E-4, 5.340576E-4]Mag:[-42.536926, 32.081604, -47.88971]Pre:nullrot:[0.25176093, -0.14298339, -0.28189278, 0.9147178, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142433534976Acc:[1.1716614, 5.404907, 7.8829193]Gyro:[-0.004486084, 9.765625E-4, 5.340576E-4]Mag:[-42.686462, 32.081604, -47.964478]Pre:nullrot:[0.25176093, -0.14298339, -0.28189278, 0.9147178, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142433534976Acc:[1.1716614, 5.404907, 7.8829193]Gyro:[-0.019760132, 0.0015258789, 0.0015563965]Mag:[-42.686462, 32.081604, -47.964478]Pre:nullrot:[0.25176093, -0.14298339, -0.28189278, 0.9147178, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142438692447Acc:[0.9466095, 5.4096985, 8.179794]Gyro:[-0.019760132, 0.0015258789, 0.0015563965]Mag:[-42.686462, 32.081604, -47.964478]Pre:nullrot:[0.25176093, -0.14298339, -0.28189278, 0.9147178, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142502382632Acc:[1.0184479, 5.5006866, 8.151062]Gyro:[-0.019760132, 0.0015258789, 0.0015563965]Mag:[-42.686462, 32.081604, -47.964478]Pre:nullrot:[0.25176093, -0.14298339, -0.28189278, 0.9147178, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142566081827Acc:[0.9849243, 5.5006714, 7.92601]Gyro:[-0.019760132, 0.0015258789, 0.0015563965]Mag:[-42.686462, 32.081604, -47.964478]Pre:nullrot:[0.25176093, -0.14298339, -0.28189278, 0.9147178, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
