time:790643479104174Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790281424020606Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643542795020Acc:[0.45819092, 8.076843, 5.431244]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643606271583Acc:[0.67367554, 7.8565826, 5.7999573]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643670846778Acc:[0.6880493, 7.8996735, 5.6515045]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643734628516Acc:[0.71676636, 7.9188232, 5.5605316]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643798410255Acc:[0.6688843, 7.957138, 5.550949]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643819009620Acc:[0.6688843, 7.957138, 5.550949]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644372323829Acc:[0.65452576, 7.9954376, 5.565323]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.78656, 13.780212, -40.53955]Pre:nullrot:[0.4268156, -0.17412265, -0.26804903, 0.8459666, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644436075049Acc:[0.6018524, 7.937973, 5.5796967]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.78656, 13.780212, -40.53955]Pre:nullrot:[0.4268156, -0.17412265, -0.26804903, 0.8459666, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644423257667Acc:[0.6018524, 7.937973, 5.5796967]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.4268156, -0.17412265, -0.26804903, 0.8459666, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644423257667Acc:[0.6018524, 7.937973, 5.5796967]Gyro:[-0.011688232, 0.0010681152, 0.003967285]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.42543694, -0.17617491, -0.2696949, 0.845713, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644423257667Acc:[0.6018524, 7.937973, 5.5796967]Gyro:[-0.00642395, 0.004928589, -0.0041046143]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.42543694, -0.17617491, -0.2696949, 0.845713, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644499887305Acc:[0.6114197, 7.9427643, 5.6467285]Gyro:[-0.00642395, 0.004928589, -0.0041046143]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.42543694, -0.17617491, -0.2696949, 0.845713, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644563608008Acc:[0.6066437, 7.9475555, 5.589264]Gyro:[-0.00642395, 0.004928589, -0.0041046143]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.42543694, -0.17617491, -0.2696949, 0.845713, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644627420264Acc:[0.6353607, 7.9619293, 5.546158]Gyro:[-0.00642395, 0.004928589, -0.0041046143]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.42543694, -0.17617491, -0.2696949, 0.845713, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644624704200Acc:[0.6353607, 7.9619293, 5.546158]Gyro:[-0.00642395, 0.004928589, -0.0041046143]Mag:[-32.86133, 13.780212, -39.71405]Pre:nullrot:[0.4270726, -0.1755516, -0.27012345, 0.844881, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644624704200Acc:[0.6353607, 7.9619293, 5.546158]Gyro:[-0.00642395, 0.004928589, -0.0041046143]Mag:[-31.96106, 13.856506, -39.71405]Pre:nullrot:[0.4270726, -0.1755516, -0.27012345, 0.844881, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644624704200Acc:[0.6353607, 7.9619293, 5.546158]Gyro:[-2.89917E-4, 0.008239746, -0.008712769]Mag:[-31.96106, 13.856506, -39.71405]Pre:nullrot:[0.4270726, -0.1755516, -0.27012345, 0.844881, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644691140967Acc:[0.6641083, 7.9667053, 5.6515045]Gyro:[-2.89917E-4, 0.008239746, -0.008712769]Mag:[-31.96106, 13.856506, -39.71405]Pre:nullrot:[0.4270726, -0.1755516, -0.27012345, 0.844881, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644754892188Acc:[0.68803406, 7.9619293, 5.5078583]Gyro:[-2.89917E-4, 0.008239746, -0.008712769]Mag:[-31.96106, 13.856506, -39.71405]Pre:nullrot:[0.4270726, -0.1755516, -0.27012345, 0.844881, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644818734962Acc:[0.7502899, 7.914032, 5.6275635]Gyro:[-2.89917E-4, 0.008239746, -0.008712769]Mag:[-31.96106, 13.856506, -39.71405]Pre:nullrot:[0.4270726, -0.1755516, -0.27012345, 0.844881, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644826089698Acc:[0.7502899, 7.914032, 5.6275635]Gyro:[-2.89917E-4, 0.008239746, -0.008712769]Mag:[-31.96106, 13.856506, -39.71405]Pre:nullrot:[0.42683902, -0.1749361, -0.27067605, 0.84494984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644826089698Acc:[0.7502899, 7.914032, 5.6275635]Gyro:[-2.89917E-4, 0.008239746, -0.008712769]Mag:[-31.58722, 13.931274, -39.338684]Pre:nullrot:[0.42683902, -0.1749361, -0.27067605, 0.84494984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644826089698Acc:[0.7502899, 7.914032, 5.6275635]Gyro:[0.007446289, 0.011383057, -0.010772705]Mag:[-31.58722, 13.931274, -39.338684]Pre:nullrot:[0.42683902, -0.1749361, -0.27067605, 0.84494984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644882486182Acc:[0.73591614, 7.909256, 5.613205]Gyro:[0.007446289, 0.011383057, -0.010772705]Mag:[-31.58722, 13.931274, -39.338684]Pre:nullrot:[0.42683902, -0.1749361, -0.27067605, 0.84494984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790644946267921Acc:[0.6688843, 7.9667206, 5.5749054]Gyro:[0.007446289, 0.011383057, -0.010772705]Mag:[-31.58722, 13.931274, -39.338684]Pre:nullrot:[0.42683902, -0.1749361, -0.27067605, 0.84494984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645010049659Acc:[0.6880493, 7.957138, 5.5557404]Gyro:[0.007446289, 0.011383057, -0.010772705]Mag:[-31.58722, 13.931274, -39.338684]Pre:nullrot:[0.42683902, -0.1749361, -0.27067605, 0.84494984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
