time:790526880849276Acc:[-1.9120636, 5.9029083, 7.6387024]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790281424032740Acc:[-1.9120636, 5.9029083, 7.6387024]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790526945425562Acc:[-2.2855682, 5.462372, 7.7823486]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527009146266Acc:[-2.3478088, 4.897339, 7.0353546]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527072897486Acc:[-2.9703064, 4.1886597, 8.969879]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527136648707Acc:[-3.080429, 4.0737457, 8.0026245]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527200430445Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527199148707Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527774252467Acc:[-1.8641815, 4.7297516, 7.677002]Gyro:[0.0010070801, 0.0129852295, 0.008804321]Mag:[-29.560852, 39.50653, -49.613953]Pre:nullrot:[0.24254653, 0.02408797, -0.2853868, 0.9269009, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527803427271Acc:[-1.8641815, 4.7297516, 7.677002]Gyro:[0.0010070801, 0.0129852295, 0.008804321]Mag:[-29.560852, 39.50653, -49.613953]Pre:nullrot:[0.24391246, 0.026487025, -0.28461036, 0.92671573, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527803427271Acc:[-1.8641815, 4.7297516, 7.677002]Gyro:[0.0010070801, 0.0129852295, 0.008804321]Mag:[-29.486084, 38.68103, -49.613953]Pre:nullrot:[0.24391246, 0.026487025, -0.28461036, 0.92671573, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527803427271Acc:[-1.8641815, 4.7297516, 7.677002]Gyro:[-0.002166748, 0.016586304, 0.013076782]Mag:[-29.486084, 38.68103, -49.613953]Pre:nullrot:[0.24391246, 0.026487025, -0.28461036, 0.92671573, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527838003687Acc:[-1.3326721, 5.1990204, 7.7105255]Gyro:[-0.002166748, 0.016586304, 0.013076782]Mag:[-29.486084, 38.68103, -49.613953]Pre:nullrot:[0.24391246, 0.026487025, -0.28461036, 0.92671573, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527901724391Acc:[-2.1610718, 5.7975616, 7.159851]Gyro:[-0.002166748, 0.016586304, 0.013076782]Mag:[-29.486084, 38.68103, -49.613953]Pre:nullrot:[0.24391246, 0.026487025, -0.28461036, 0.92671573, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527965506129Acc:[-2.2089539, 5.606018, 7.9643097]Gyro:[-0.002166748, 0.016586304, 0.013076782]Mag:[-29.486084, 38.68103, -49.613953]Pre:nullrot:[0.24391246, 0.026487025, -0.28461036, 0.92671573, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528028738551Acc:[-1.7492676, 5.3139343, 7.7536316]Gyro:[-0.002166748, 0.016586304, 0.013076782]Mag:[-29.486084, 38.68103, -49.613953]Pre:nullrot:[0.24391246, 0.026487025, -0.28461036, 0.92671573, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528004477076Acc:[-1.7492676, 5.3139343, 7.7536316]Gyro:[-0.002166748, 0.016586304, 0.013076782]Mag:[-29.486084, 38.68103, -49.613953]Pre:nullrot:[0.27504772, 0.01860536, -0.27407575, 0.9213496, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528004477076Acc:[-1.7492676, 5.3139343, 7.7536316]Gyro:[-0.002166748, 0.016586304, 0.013076782]Mag:[-29.26178, 37.405396, -49.014282]Pre:nullrot:[0.27504772, 0.01860536, -0.27407575, 0.9213496, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
