time:788813733151533Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788940913571455Acc:[-2.68779, 2.9436798, 8.912415]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788940976956465Acc:[-2.1036072, 0.108947754, 9.68335]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941041043379Acc:[-2.1802216, -0.2741394, 12.723984]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941104794599Acc:[-1.6103973, 0.7266388, 8.936356]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941168545820Acc:[-1.9599609, 1.4161682, 9.836578]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941232327558Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941249478437Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:nullMag:[-38.86261, 57.806396, -49.31488]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941806119062Acc:[-1.3278809, 1.1336517, 10.06163]Gyro:[-0.011764526, 0.04550171, -0.03225708]Mag:[-39.912415, 58.0307, -49.765015]Pre:nullrot:[0.07555007, 0.061544638, -0.31280687, 0.9448049, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941869870283Acc:[-1.2943573, 1.1480255, 9.788696]Gyro:[-0.011764526, 0.04550171, -0.03225708]Mag:[-39.912415, 58.0307, -49.765015]Pre:nullrot:[0.07555007, 0.061544638, -0.31280687, 0.9448049, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941853695967Acc:[-1.2943573, 1.1480255, 9.788696]Gyro:[-0.011764526, 0.04550171, -0.03225708]Mag:[-39.912415, 58.0307, -49.765015]Pre:nullrot:[0.07673395, 0.049034975, -0.30928332, 0.94659984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941853695967Acc:[-1.2943573, 1.1480255, 9.788696]Gyro:[-0.01272583, 0.06321716, -0.041046143]Mag:[-39.912415, 58.0307, -49.765015]Pre:nullrot:[0.07673395, 0.049034975, -0.30928332, 0.94659984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941853695967Acc:[-1.2943573, 1.1480255, 9.788696]Gyro:[-0.01272583, 0.06321716, -0.041046143]Mag:[-41.711426, 58.0307, -50.21515]Pre:nullrot:[0.07673395, 0.049034975, -0.30928332, 0.94659984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941933621504Acc:[-1.1172028, 1.2533722, 9.52533]Gyro:[-0.01272583, 0.06321716, -0.041046143]Mag:[-41.711426, 58.0307, -50.21515]Pre:nullrot:[0.07673395, 0.049034975, -0.30928332, 0.94659984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941997372724Acc:[-1.1794434, 1.4209595, 9.74559]Gyro:[-0.01272583, 0.06321716, -0.041046143]Mag:[-41.711426, 58.0307, -50.21515]Pre:nullrot:[0.07673395, 0.049034975, -0.30928332, 0.94659984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942061184980Acc:[-0.9783325, 1.6316528, 9.975449]Gyro:[-0.01272583, 0.06321716, -0.041046143]Mag:[-41.711426, 58.0307, -50.21515]Pre:nullrot:[0.07673395, 0.049034975, -0.30928332, 0.94659984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942055142500Acc:[-0.9783325, 1.6316528, 9.975449]Gyro:[-0.01272583, 0.06321716, -0.041046143]Mag:[-43.511963, 57.65686, -50.81482]Pre:nullrot:[0.07673395, 0.049034975, -0.30928332, 0.94659984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942055142500Acc:[-0.9783325, 1.6316528, 9.975449]Gyro:[-0.011016846, 0.0756073, -0.040771484]Mag:[-43.511963, 57.65686, -50.81482]Pre:nullrot:[0.07673395, 0.049034975, -0.30928332, 0.94659984, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942055142500Acc:[-0.9783325, 1.6316528, 9.975449]Gyro:[-0.011016846, 0.0756073, -0.040771484]Mag:[-43.511963, 57.65686, -50.81482]Pre:nullrot:[0.07673398, 0.049034927, -0.30928388, 0.94659966, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942124905683Acc:[-1.0740967, 1.9524689, 9.520538]Gyro:[-0.011016846, 0.0756073, -0.040771484]Mag:[-43.511963, 57.65686, -50.81482]Pre:nullrot:[0.07673398, 0.049034927, -0.30928388, 0.94659966, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942187863447Acc:[-1.3853455, 2.5414429, 9.01297]Gyro:[-0.011016846, 0.0756073, -0.040771484]Mag:[-43.511963, 57.65686, -50.81482]Pre:nullrot:[0.07673398, 0.049034927, -0.30928388, 0.94659966, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942252438642Acc:[-1.399704, 2.5558167, 8.562866]Gyro:[-0.011016846, 0.0756073, -0.040771484]Mag:[-43.511963, 57.65686, -50.81482]Pre:nullrot:[0.07673398, 0.049034927, -0.30928388, 0.94659966, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942256527998Acc:[-1.399704, 2.5558167, 8.562866]Gyro:[-0.011016846, 0.0756073, -0.040771484]Mag:[-43.511963, 57.65686, -50.81482]Pre:nullrot:[0.08277612, 0.037122723, -0.3019853, 0.94898623, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942256527998Acc:[-1.399704, 2.5558167, 8.562866]Gyro:[-0.011016846, 0.0756073, -0.040771484]Mag:[-42.536926, 54.281616, -51.41449]Pre:nullrot:[0.08277612, 0.037122723, -0.3019853, 0.94898623, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942256527998Acc:[-1.399704, 2.5558167, 8.562866]Gyro:[-0.007583618, 0.08026123, -0.03250122]Mag:[-42.536926, 54.281616, -51.41449]Pre:nullrot:[0.08277612, 0.037122723, -0.3019853, 0.94898623, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942316159345Acc:[-0.8011627, 2.5701752, 9.080017]Gyro:[-0.007583618, 0.08026123, -0.03250122]Mag:[-42.536926, 54.281616, -51.41449]Pre:nullrot:[0.08277612, 0.037122723, -0.3019853, 0.94898623, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942379422285Acc:[0.041610718, 3.0729523, 9.989807]Gyro:[-0.007583618, 0.08026123, -0.03250122]Mag:[-42.536926, 54.281616, -51.41449]Pre:nullrot:[0.08277612, 0.037122723, -0.3019853, 0.94898623, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942443692304Acc:[1.0136566, 3.0585938, 10.296265]Gyro:[-0.007583618, 0.08026123, -0.03250122]Mag:[-42.536926, 54.281616, -51.41449]Pre:nullrot:[0.08277612, 0.037122723, -0.3019853, 0.94898623, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942457944013Acc:[1.0136566, 3.0585938, 10.296265]Gyro:[-0.007583618, 0.08026123, -0.03250122]Mag:[-44.036865, 52.331543, -51.939392]Pre:nullrot:[0.08277612, 0.037122723, -0.3019853, 0.94898623, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942457944013Acc:[1.0136566, 3.0585938, 10.296265]Gyro:[-0.007583618, 0.08026123, -0.03250122]Mag:[-44.036865, 52.331543, -51.939392]Pre:nullrot:[0.12140202, 0.03246054, -0.29230732, 0.9480318, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942457944013Acc:[1.0136566, 3.0585938, 10.296265]Gyro:[-0.0045318604, 0.08213806, -0.024612427]Mag:[-44.036865, 52.331543, -51.939392]Pre:nullrot:[0.12140202, 0.03246054, -0.29230732, 0.9480318, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942507413008Acc:[1.9617462, 3.3794098, 8.007416]Gyro:[-0.0045318604, 0.08213806, -0.024612427]Mag:[-44.036865, 52.331543, -51.939392]Pre:nullrot:[0.12140202, 0.03246054, -0.29230732, 0.9480318, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942571194746Acc:[1.4493866, 3.221405, 9.03212]Gyro:[-0.0045318604, 0.08213806, -0.024612427]Mag:[-44.036865, 52.331543, -51.939392]Pre:nullrot:[0.12140202, 0.03246054, -0.29230732, 0.9480318, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942634976484Acc:[1.6936035, 3.04422, 8.701721]Gyro:[-0.0045318604, 0.08213806, -0.024612427]Mag:[-44.036865, 52.331543, -51.939392]Pre:nullrot:[0.12140202, 0.03246054, -0.29230732, 0.9480318, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942659357659Acc:[1.6936035, 3.04422, 8.701721]Gyro:[-0.0045318604, 0.08213806, -0.024612427]Mag:[-48.23761, 48.506165, -52.01416]Pre:nullrot:[0.12140202, 0.03246054, -0.29230732, 0.9480318, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942659357659Acc:[1.6936035, 3.04422, 8.701721]Gyro:[-0.0014190674, 0.07652283, -0.018218994]Mag:[-48.23761, 48.506165, -52.01416]Pre:nullrot:[0.12140202, 0.03246054, -0.29230732, 0.9480318, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942659357659Acc:[1.6936035, 3.04422, 8.701721]Gyro:[-0.0014190674, 0.07652283, -0.018218994]Mag:[-48.23761, 48.506165, -52.01416]Pre:nullrot:[0.13296731, -0.027802432, -0.26031947, 0.95591867, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
